id,id_productor,familiar_modif,sexo,edad,trabajo_modif,estudio_modif,ayuda_modif,migracion_modif,ganado_modif,created_at,updated_at,est_i
688,183,MADRE,MUJER,45,CAMPESINO,SECUNDARIA,0,NO,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,8/27/2017 19:19,1
689,183,HIJO(A),MUJER,22,AMA DE CASA,SECUNDARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/27/2017 19:20,1
690,183,NIETO(A),HOMBRE,5,OTROS,PRE-PRIMARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/27/2017 19:21,1
707,229,PADRE,HOMBRE,48,JORNALERO,NO ESTUDIA,SI,NO,BOVINOS Y PORCINOS,05/07/2018 12:09,8/27/2017 23:59,1
708,229,MADRE,MUJER,45,AMA DE CASA,NO ESTUDIA,SI,NO,BOVINOS Y PORCINOS,05/07/2018 12:09,8/28/2017 0:01,1
709,229,HIJO(A),HOMBRE,21,OTROS,NO ESTUDIA,NO,NO,0,05/07/2018 12:09,8/28/2017 0:03,1
710,229,HIJO(A),HOMBRE,18,NO TRABAJA,BACHILLERATO,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 0:06,1
711,229,HIJO(A),MUJER,8,NO TRABAJA,PRIMARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 0:07,1
727,236,PADRE,HOMBRE,45,CAMPESINO,NO ESTUDIA,SI,NO,AVES DE CORRAL Y BOVINOS,05/07/2018 12:09,8/28/2017 2:32,1
728,236,MADRE,MUJER,43,CAMPESINO,NO ESTUDIA,SI,NO,AVES DE CORRAL Y BOVINOS,05/07/2018 12:09,8/28/2017 2:35,1
729,236,HIJO(A),HOMBRE,23,ESTUDIANTE,UNIVERSIDAD,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 2:38,1
730,236,HIJO(A),MUJER,24,ESTUDIANTE,NO ESTUDIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 2:39,1
731,184,MADRE,MUJER,48,CAMPESINO,PRIMARIA,0,NO,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,8/28/2017 3:25,1
732,184,HIJO(A),MUJER,25,CAMPESINO,SECUNDARIA,0,NO,0,05/07/2018 12:09,8/28/2017 3:26,1
733,184,YERNO,HOMBRE,26,CAMPESINO,SECUNDARIA,0,SI,NO POSEE GANADO,05/08/2018 15:03,8/28/2017 3:27,1
734,184,NIETO(A),HOMBRE,4,OTROS,PRE-PRIMARIA,0,NO,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 3:28,1
735,240,PADRE,HOMBRE,62,CAMPESINO,NO ESTUDIA,SI,SI,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 4:17,1
736,240,MADRE,MUJER,52,CAMPESINO,NO ESTUDIA,SI,NO,OVINOS-CAPRINOS,05/07/2018 12:09,8/28/2017 4:18,1
737,240,HIJO(A),MUJER,24,NO TRABAJA,NO ESTUDIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 4:20,1
738,240,HIJO(A),HOMBRE,22,ALBAÑIL,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 4:21,1
739,240,NUERA,MUJER,22,AMA DE CASA,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/08/2018 15:04,8/28/2017 4:23,1
740,240,NIETO(A),HOMBRE,4,ESTUDIANTE,PRE-PRIMARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/28/2017 4:25,1
