id,id_productor,compra_venta,articulos,TIPO ARTICULO,nombre_esp,nombre_len,lugar_obtencion,lugar_modif,frecuencia,frecuencia_modif,comentarios,created_at,updated_at,Freq_anual
2038,170,COMPRA,SEMILLAS ,Non,ARROZ,,TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 03:51,0.06575
2039,170,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SOPAS,,TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 03:52,0.06575
2043,171,COMPRA,SEMILLAS ,Non,ARROZ,,TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 04:33,0.06575
2045,171,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,CHILES EN VINAGRE ,,TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 04:34,0.06575
2049,172,COMPRA,SEMILLAS ,Non,ARROZ,,TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 16:24,0.06575
2050,172,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SOPAS,,TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 16:24,0.06575
2053,173,COMPRA,PESCADOS,Non,MOJARRAS,SIPETLAME,TIANGUIS,EN EL MERCADO O TIANGUIS,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 17:19,0.06575
2061,173,VENTA,PLANTAS Y FRUTOS,Non,MAÍZ ,SINTLI,MILPA,EN LA MILPA,CADA 15 DIAS ,2 VECES AL MES,CUANDO HAY BUENA PRODUCCION EL PRODUCTOR DECIDE VENDER ,03/05/2018 15:27,25/07/2017 17:26,0.06575
2067,175,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYO NAKATL,TIANGUIS,EN EL MERCADO O TIANGUIS,CADA 15 DIAS,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 18:56,0.06575
2068,175,COMPRA,SEMILLAS ,Non,ARROZ,,TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 18:56,0.06575
2069,175,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SOPAS,,TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 18:57,0.06575
2072,175,VENTA,PLANTAS Y FRUTOS,Non,MAÍZ ,SINTLI,MILPA,EN LA MILPA,CADA 15 DIAS ,2 VECES AL MES,CUANDO HAY BUENA PRODUCCION EL PRODUCTOR DECIDE VENDER EL MAIZ POR CUARTILLOS Y LO LLEVA AL TIANGUIS Y CADA CUARTILLO LO VENDE A $25,03/05/2018 15:27,25/07/2017 19:00,0.06575
340,36,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYONAKATL ,,,CADA 2 MECES,CADA 2 MESES,,03/05/2018 14:42,20/07/2017 15:55,0.016438
344,36,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,ATÚN ,,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,20/07/2017 15:59,0.016438
355,37,COMPRA,PESCADOS,Non,PESCADO,MICHIMEJ,,,CADA DOS MESES,CADA 2 MESES,,03/05/2018 14:42,20/07/2017 07:50,0.016438
357,37,COMPRA,CARNE,Non,CARNE DE CERDO,PITSO NAKATL,,,2 MESES,CADA 2 MESES,,03/05/2018 14:42,20/07/2017 07:52,0.016438
358,37,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SARDINAS,,,,CADA DOS MESES,CADA 2 MESES,,03/05/2018 14:42,20/07/2017 07:53,0.016438
363,38,COMPRA,ALIMENTOS PREPARADOS ,Non,ZACAHUIL ,SAKAHUILE,,,2 MESES,CADA 2 MESES,,03/05/2018 14:42,20/07/2017 13:15,0.016438
365,38,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYO NAKATL,,,2 MESES ,CADA 2 MESES,,03/05/2018 14:42,20/07/2017 13:17,0.016438
407,41,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYONAKATL ,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,21/07/2017 12:29,0.016438
422,43,COMPRA,ALIMENTOS PREPARADOS ,Non,TAMALES,XAMITL,,,CADA 2 MESE,CADA 2 MESES,,03/05/2018 14:42,22/07/2017 03:10,0.016438
472,47,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYO NAKATL,,,CADA 2 MESES ,CADA 2 MESES,,03/05/2018 14:42,22/07/2017 17:17,0.016438
519,52,COMPRA,PESCADOS,Non,PESCADO,MICHIME,,,CADA 2 MESES,CADA 2 MESES,,03/05/2018 14:42,23/07/2017 18:45,0.016438
596,64,COMPRA,SEMILLAS ,Non,CACAHUATE ,KAKAHUATE,,,CADA 2 MESES ,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 11:09,0.016438
598,64,COMPRA,PESCADOS,Non,MOJARRAS,CHOMPETLAMEJ ,,,CADA 2 - 3 MESES ,CADA 2 MESES,,03/05/2018 14:42,27/07/2017 11:11,0.016438
